method,function
"numpy.ndarray",""
"numpy.ndarray.T","numpy.tranpose"
"numpy.ndarray.__abs__","numpy.absolute"
"numpy.ndarray.__add__","numpy.add"
"numpy.ndarray.__and__","numpy.bitwise_and"
"numpy.ndarray.__array__",""
"numpy.ndarray.__array_wrap__",""
"numpy.ndarray.__bool__",""
"numpy.ndarray.__complex__",""
"numpy.ndarray.__contains__",""
"numpy.ndarray.__copy__",""
"numpy.ndarray.__deepcopy__",""
"numpy.ndarray.__divmod__","numpy.divmod"
"numpy.ndarray.__eq__","numpy.equal"
"numpy.ndarray.__float__",""
"numpy.ndarray.__floordiv__","numpy.floor_divide"
"numpy.ndarray.__ge__","numpy.greater_equal"
"numpy.ndarray.__getitem__",""
"numpy.ndarray.__gt__","numpy.greater"
"numpy.ndarray.__iadd__","numpy.add"
"numpy.ndarray.__iand__","numpy.bitwise_and"
"numpy.ndarray.__ifloordiv__","numpy.floor_divide"
"numpy.ndarray.__ilshift__","numpy.left_shift"
"numpy.ndarray.__imod__","numpy.mod"
"numpy.ndarray.__imul__","numpy.multiply"
"numpy.ndarray.__int__",""
"numpy.ndarray.__invert__","numpy.invert"
"numpy.ndarray.__ior__","numpy.bitwise_or"
"numpy.ndarray.__ipow__","numpy.power"
"numpy.ndarray.__irshift__","numpy.right_shift"
"numpy.ndarray.__isub__","numpy.subtract"
"numpy.ndarray.__itruediv__","numpy.true_divide"
"numpy.ndarray.__ixor__","numpy.bitwise_xor"
"numpy.ndarray.__le__","numpy.less_equal"
"numpy.ndarray.__len__",""
"numpy.ndarray.__lshift__","numpy.left_shift"
"numpy.ndarray.__lt__","numpy.less"
"numpy.ndarray.__matmul__","numpy.matmul"
"numpy.ndarray.__mod__","numpy.mod"
"numpy.ndarray.__mul__","numpy.multiply"
"numpy.ndarray.__ne__","numpy.not_equal"
"numpy.ndarray.__neg__","numpy.negative"
"numpy.ndarray.__new__",""
"numpy.ndarray.__or__","numpy.bitwise_or"
"numpy.ndarray.__pos__","numpy.positive"
"numpy.ndarray.__pow__","numpy.power"
"numpy.ndarray.__reduce__",""
"numpy.ndarray.__repr__","numpy.array_repr"
"numpy.ndarray.__rshift__","numpy.right_shift"
"numpy.ndarray.__setitem__",""
"numpy.ndarray.__setstate__",""
"numpy.ndarray.__str__","numpy.array_str"
"numpy.ndarray.__sub__","numpy.subtract"
"numpy.ndarray.__truediv__","numpy.true_divide"
"numpy.ndarray.__xor__","numpy.bitwise_xor"
"numpy.ndarray.all","numpy.all"
"numpy.ndarray.any","numpy.any"
"numpy.ndarray.argmax","numpy.argmax"
"numpy.ndarray.argmin","numpy.argmin"
"numpy.ndarray.argpartition","numpy.argpartition"
"numpy.ndarray.argsort","numpy.argsort"
"numpy.ndarray.astype","numpy.copy"
"numpy.ndarray.base",""
"numpy.ndarray.byteswap",""
"numpy.ndarray.choose","numpy.choose"
"numpy.ndarray.clip","numpy.clip"
"numpy.ndarray.compress","numpy.compress"
"numpy.ndarray.conj","numpy.conj"
"numpy.ndarray.copy","numpy.copy"
"numpy.ndarray.ctypes",""
"numpy.ndarray.cumprod","numpy.cumprod"
"numpy.ndarray.cumsum","numpy.cumsum"
"numpy.ndarray.data",""
"numpy.ndarray.diagonal","numpy.diagonal"
"numpy.ndarray.dtype",""
"numpy.ndarray.dump",""
"numpy.ndarray.dumps",""
"numpy.ndarray.fill",""
"numpy.ndarray.flags",""
"numpy.ndarray.flat",""
"numpy.ndarray.flatten","numpy.ravel"
"numpy.ndarray.getfield",""
"numpy.ndarray.imag","numpy.imag"
"numpy.ndarray.item",""
"numpy.ndarray.itemset",""
"numpy.ndarray.itemsize",""
"numpy.ndarray.max","numpy.maximum"
"numpy.ndarray.mean","numpy.mean"
"numpy.ndarray.min","numpy.minimum"
"numpy.ndarray.nbytes",""
"numpy.ndarray.ndim",""
"numpy.ndarray.nonzero","numpy.nonzero"
"numpy.ndarray.partition","numpy.partition"
"numpy.ndarray.prod","numpy.prod"
"numpy.ndarray.ptp","numpy.ptp"
"numpy.ndarray.put","numpy.put"
"numpy.ndarray.ravel","numpy.ravel"
"numpy.ndarray.real","numpy.real"
"numpy.ndarray.repeat","numpy.repeat"
"numpy.ndarray.reshape","numpy.reshape"
"numpy.ndarray.resize","numpy.resize"
"numpy.ndarray.round","numpy.round_"
"numpy.ndarray.searchsorted","numpy.searchsorted"
"numpy.ndarray.setflags",""
"numpy.ndarray.shape",""
"numpy.ndarray.size",""
"numpy.ndarray.sort","numpy.sort"
"numpy.ndarray.squeeze","numpy.squeeze"
"numpy.ndarray.std","numpy.std"
"numpy.ndarray.strides",""
"numpy.ndarray.sum","numpy.sum"
"numpy.ndarray.swapaxes","numpy.swapaxes"
"numpy.ndarray.take","numpy.take"
"numpy.ndarray.tobytes",""
"numpy.ndarray.tofile","numpy.save"
"numpy.ndarray.tolist",""
"numpy.ndarray.tostring","numpy.array2string"
"numpy.ndarray.trace","numpy.trace"
"numpy.ndarray.transpose","numpy.transpose"
"numpy.ndarray.var","numpy.var"
"numpy.ndarray.view",""
